,W_id,L_id,dire_team,radiant_team,match_id,win_predict_player,radiant_win
88,5027210,39,5027210.0,39.0,3691341015,0.5,False
89,4709558,5192191,5192191.0,4709558.0,3691365390,0.5430664920222119,True
90,2765443,4259604,4259604.0,2765443.0,3691406040,0.44553062597832394,True
91,4709558,5192191,4709558.0,5192191.0,3691439021,0.5644004902404213,False
92,4259604,2765443,4259604.0,2765443.0,3691498950,0.5287505638922686,False
93,4259604,5082930,4259604.0,5082930.0,3692831804,0.5416377027147634,False
94,5010634,4709558,5010634.0,4709558.0,3692873869,0.4495157413356839,False
95,4259604,5082930,5082930.0,4259604.0,3692882980,0.5629847281035958,True
96,5010634,4709558,5010634.0,4709558.0,3692929528,0.4726840269935071,False
97,4259604,5010634,5010634.0,4259604.0,3693045429,0.5373473171664928,True
98,5010634,4259604,4259604.0,5010634.0,3693111047,0.4398498547680971,True
99,4259604,5010634,4259604.0,5010634.0,3693190225,0.5344839447268315,False
100,4709558,2765443,4709558.0,2765443.0,3693399248,0.5359159269451023,False
101,4709558,2765443,2765443.0,4709558.0,3693488287,0.5573116337622928,True
102,3621852,4709558,3621852.0,4709558.0,3694548304,0.45265148195413535,False
103,4709558,3621852,4709558.0,3621852.0,3694611681,0.5230095872975623,False
104,4709558,3621852,3621852.0,4709558.0,3694651139,0.5433521656345145,True
105,5010634,4709558,5010634.0,4709558.0,3694753726,0.45979177167625435,False
106,5010634,4709558,5010634.0,4709558.0,3694832485,0.4841750147352649,False
107,4259604,5010634,4259604.0,5010634.0,3694952471,0.5301846800039021,False
108,4259604,5010634,5010634.0,4259604.0,3695025111,0.5530468951694625,True
109,4259604,5010634,4259604.0,5010634.0,3695103645,0.5728722513945045,False
110,2163,39,2163.0,39.0,3702089496,0.5092092987579135,False
111,1375614,2163,1375614.0,2163.0,3704076062,0.48992755307256153,False
112,1375614,2163,2163.0,1375614.0,3704280890,0.5129491448928637,True
113,15,1375614,1375614.0,15.0,3716044674,0.5,True
114,15,2163,2163.0,15.0,3716642134,0.5459219227804837,True
115,2586976,111474,111474.0,2586976.0,3723901029,0.5115108912177917,True
116,5027210,15,5027210.0,15.0,3728684398,0.46924181175626767,False
117,5234564,5063845,5063845.0,5234564.0,3730473767,0.4997121768951675,True
118,5234564,5063845,5234564.0,5063845.0,3730586712,0.5212860386322268,False
119,2586976,5006832,2586976.0,5006832.0,3730626579,0.5215733330511455,False
120,3795613,5231224,5231224.0,3795613.0,3730742366,0.5,True
121,5231224,3795613,5231224.0,3795613.0,3730873615,0.4769904127024377,False
122,3477208,5222250,3477208.0,5222250.0,3731460190,0.5,False
123,350190,3586078,350190.0,3586078.0,3732103476,0.4936682294922017,False
124,5059375,111474,111474.0,5059375.0,3732289956,0.5161125148126701,True
125,2108395,350190,350190.0,2108395.0,3732359324,0.44212035829733254,True
126,350190,2108395,350190.0,2108395.0,3732482415,0.5321916001765519,False
127,5059375,111474,111474.0,5059375.0,3732536334,0.5376335221170659,True
128,350190,2108395,2108395.0,350190.0,3732580015,0.553900488218878,True
129,4324365,3715574,3715574.0,4324365.0,3732581038,0.4884891087822083,True
